,car_titlem,car_price,car_description,car_location
90,Kia Optima,6 200 000 ₸,"2012 г., седан, 2.4 л, газ-бензин, КПП типтроник, 230 000 км, черный, металлик, литые диски, панорамная крыша, тониров...",Алматы
91,Kia Optima,5 800 000 ₸,"2016 г., седан, 2.4 л, бензин, КПП автомат, 46 348 км, черный",Другой город в Армении
92,Kia Optima,4 350 000 ₸,"2012 г., седан, 2.4 л, бензин, КПП автомат, 96 000 км, бронза, металлик, ветровики, литые диски, тонировка, обогрев зе...",Кокшетау
93,Kia Optima,8 100 000 ₸,"2019 г., седан, 2 л, бензин, КПП автомат, 3 400 км, белый, КИА Оптима Год выпуска: 2019 Двигатель: 2, 0 (бензин, газ)....",Алматы
94,Kia Optima,5 700 000 ₸,"2016 г., седан, 2.4 л, бензин, КПП типтроник, 55 000 км, черный, велюр, аудиосистема, CD, MP3, USB, встроенный телефон...",Кокшетау
95,Kia Optima,5 900 000 ₸,"2019 г., седан, 2 л, бензин, КПП автомат, Kia Optima престиж! Учет Рф стс птс все есть! Торг возле машины! Новая зимня...",Нур-Султан (Астана)
96,Kia Optima,6 800 000 ₸,"2014 г., седан, 2 л, бензин, КПП автомат, 133 000 км, черный, металлик, люк, литые диски, ветровики, панорамная крыша,...",Актобе
97,Kia Optima,6 800 000 ₸,"2014 г., седан, 2 л, бензин, КПП автомат, 133 000 км, черный, металлик, люк, литые диски, обвес, панорамная крыша, тон...",Атырау
98,Kia Optima,6 800 000 ₸,"2014 г., седан, 2 л, бензин, КПП автомат, 133 000 км, черный, металлик, люк, литые диски, ветровики, панорамная крыша,...",Уральск
99,Kia Optima,4 500 000 ₸,"2015 г., седан, 2.4 л, бензин, КПП автомат, 72 098 км, синий, металлик, литые диски, тонировка, противотуманки, обогре...",Алматы
100,Kia Optima,7 000 000 ₸,"2014 г., седан, 2.5 л, бензин, КПП автомат, 42 000 км, белый, литые диски, панорамная крыша, тонировка, люк, ветровики...",Нур-Султан (Астана)
101,Kia Optima,6 000 000 ₸,"2012 г., седан, 2.4 л, газ-бензин, КПП типтроник, 86 000 км, белый, Машина вся в родной краске даже бампера. Самая пол...",Алматы
102,Kia Optima,7 000 000 ₸,"2014 г., седан, 2.4 л, бензин, КПП типтроник, 132 000 км, черный, металлик, Корейская сборка, самая полная комплектаци...",Караганда
103,Kia Optima,6 800 000 ₸,"2014 г., седан, 2.4 л, бензин, КПП автомат, 105 000 км, белый, литые диски, панорамная крыша, тонировка, люк, ветровик...",Алматы
104,Kia Optima,4 700 000 ₸,"2013 г., седан, 2.4 л, бензин, КПП автомат, 123 919 км, черный, металлик, люк, литые диски, панорамная крыша, тонировк...",Атырау
105,Kia Optima,4 500 000 ₸,"2012 г., седан, 2.4 л, бензин, КПП типтроник, 134 218 км, черный, ксенон, противотуманки, дерево, полный электропакет,...",Актау
106,Kia Optima,9 600 000 ₸,"2019 г., седан, 2 л, бензин, КПП автомат, белый, металлик, литые диски, хрустальная оптика, ксенон, линзованная оптика...",Алматы
107,Kia Optima,9 600 000 ₸,"Срочно, торгновая
2019 г., седан, 2 л, бензин, КПП автомат, белый, металлик, литые диски, ксенон, корректор фар, линзованная оптика, дне...",Алматы
108,Kia Optima,11 000 000 ₸,"Срочно, торгновая
2019 г., седан, 2 л, бензин, КПП типтроник, 200 км, серый, литые диски, панорамная крыша, рейлинги, багажник, линзован...",Нур-Султан (Астана)
109,Kia Optima,11 794 250 ₸,"новая
2019 г., седан, 2 л, бензин, КПП автомат, черный, металлик, литые диски, ксенон, линзованная оптика, дневные ходовые о...",Павлодар
110,Kia Optima,6 200 000 ₸,"2012 г., седан, 2.4 л, газ-бензин, КПП типтроник, 230 000 км, черный, металлик, литые диски, панорамная крыша, тониров...",Алматы
111,Kia Optima,5 800 000 ₸,"2016 г., седан, 2.4 л, бензин, КПП автомат, 46 348 км, черный",Другой город в Армении
112,Kia Optima,4 350 000 ₸,"2012 г., седан, 2.4 л, бензин, КПП автомат, 96 000 км, бронза, металлик, ветровики, литые диски, тонировка, обогрев зе...",Кокшетау
113,Kia Optima,8 100 000 ₸,"2019 г., седан, 2 л, бензин, КПП автомат, 3 400 км, белый, КИА Оптима Год выпуска: 2019 Двигатель: 2, 0 (бензин, газ)....",Алматы
114,Kia Optima,5 700 000 ₸,"2016 г., седан, 2.4 л, бензин, КПП типтроник, 55 000 км, черный, велюр, аудиосистема, CD, MP3, USB, встроенный телефон...",Кокшетау
115,Kia Optima,5 900 000 ₸,"2019 г., седан, 2 л, бензин, КПП автомат, Kia Optima престиж! Учет Рф стс птс все есть! Торг возле машины! Новая зимня...",Нур-Султан (Астана)
116,Kia Optima,6 800 000 ₸,"2014 г., седан, 2 л, бензин, КПП автомат, 133 000 км, черный, металлик, люк, литые диски, ветровики, панорамная крыша,...",Актобе
117,Kia Optima,6 800 000 ₸,"2014 г., седан, 2 л, бензин, КПП автомат, 133 000 км, черный, металлик, люк, литые диски, обвес, панорамная крыша, тон...",Атырау
118,Kia Optima,6 800 000 ₸,"2014 г., седан, 2 л, бензин, КПП автомат, 133 000 км, черный, металлик, люк, литые диски, ветровики, панорамная крыша,...",Уральск
119,Kia Optima,4 500 000 ₸,"2015 г., седан, 2.4 л, бензин, КПП автомат, 72 098 км, синий, металлик, литые диски, тонировка, противотуманки, обогре...",Алматы
120,Kia Optima,7 000 000 ₸,"2014 г., седан, 2.5 л, бензин, КПП автомат, 42 000 км, белый, литые диски, панорамная крыша, тонировка, люк, ветровики...",Нур-Султан (Астана)
121,Kia Optima,6 000 000 ₸,"2012 г., седан, 2.4 л, газ-бензин, КПП типтроник, 86 000 км, белый, Машина вся в родной краске даже бампера. Самая пол...",Алматы
122,Kia Optima,7 000 000 ₸,"2014 г., седан, 2.4 л, бензин, КПП типтроник, 132 000 км, черный, металлик, Корейская сборка, самая полная комплектаци...",Караганда
123,Kia Optima,6 800 000 ₸,"2014 г., седан, 2.4 л, бензин, КПП автомат, 105 000 км, белый, литые диски, панорамная крыша, тонировка, люк, ветровик...",Алматы
124,Kia Optima,4 700 000 ₸,"2013 г., седан, 2.4 л, бензин, КПП автомат, 123 919 км, черный, металлик, люк, литые диски, панорамная крыша, тонировк...",Атырау
125,Kia Optima,4 500 000 ₸,"2012 г., седан, 2.4 л, бензин, КПП типтроник, 134 218 км, черный, ксенон, противотуманки, дерево, полный электропакет,...",Актау
126,Kia Optima,9 600 000 ₸,"2019 г., седан, 2 л, бензин, КПП автомат, белый, металлик, литые диски, хрустальная оптика, ксенон, линзованная оптика...",Алматы
127,Kia Optima,9 600 000 ₸,"Срочно, торгновая
2019 г., седан, 2 л, бензин, КПП автомат, белый, металлик, литые диски, ксенон, корректор фар, линзованная оптика, дне...",Алматы
128,Kia Optima,11 000 000 ₸,"Срочно, торгновая
2019 г., седан, 2 л, бензин, КПП типтроник, 200 км, серый, литые диски, панорамная крыша, рейлинги, багажник, линзован...",Нур-Султан (Астана)
129,Kia Optima,11 794 250 ₸,"новая
2019 г., седан, 2 л, бензин, КПП автомат, черный, металлик, литые диски, ксенон, линзованная оптика, дневные ходовые о...",Павлодар
130,Kia Optima,6 200 000 ₸,"2012 г., седан, 2.4 л, газ-бензин, КПП типтроник, 230 000 км, черный, металлик, литые диски, панорамная крыша, тониров...",Алматы
131,Kia Optima,5 800 000 ₸,"2016 г., седан, 2.4 л, бензин, КПП автомат, 46 348 км, черный",Другой город в Армении
132,Kia Optima,4 350 000 ₸,"2012 г., седан, 2.4 л, бензин, КПП автомат, 96 000 км, бронза, металлик, ветровики, литые диски, тонировка, обогрев зе...",Кокшетау
133,Kia Optima,8 100 000 ₸,"2019 г., седан, 2 л, бензин, КПП автомат, 3 400 км, белый, КИА Оптима Год выпуска: 2019 Двигатель: 2, 0 (бензин, газ)....",Алматы
134,Kia Optima,5 700 000 ₸,"2016 г., седан, 2.4 л, бензин, КПП типтроник, 55 000 км, черный, велюр, аудиосистема, CD, MP3, USB, встроенный телефон...",Кокшетау
