,car_title,car_price,car_description,car_location
103,Mazda 6,6 700 000 ₸,"2013 г., седан, 2 л, бензин, КПП автомат, 105 000 км, серебристый, металлик, тонировка, биксенон, противотуманки, омыв...",Алматы
104,Mazda 6,11 700 000 ₸,"2019 г., седан, 2.5 л, бензин, КПП автомат, Новая машина. Продаётся в связи с покупкой недвижимости! На гарантии у оф....",Алматы
105,Mazda 6,12 750 000 ₸,"2018 г., седан, 2.5 л, бензин, КПП автомат, 8 617 км, серый, металлик, литые диски, тонировка, люк, хрустальная оптика...",Нур-Султан (Астана)
106,Mazda 6,8 700 000 ₸,"На заказ
2018 г., седан, 2 л, бензин, КПП автомат, 25 000 км, белый, металлик, Акпп 2-зонный климат-контроль Пушстарт Камера за...",Нур-Султан (Астана)
107,Mazda 6,8 900 000 ₸,"2015 г., седан, 2.5 л, бензин, КПП автомат, 88 000 км, черный, люк, литые диски, ветровики, тонировка, обогрев зеркал,...",Атырау
108,Mazda 6,5 770 000 ₸,"2014 г., седан, 2 л, бензин, КПП автомат, 83 200 км, черный, Цена окончательная! Без торга! Автомобиль в хорошем состо...",Нур-Султан (Астана)
109,Mazda 6,6 250 000 ₸,"2013 г., седан, 2 л, бензин, КПП автомат, 96 000 км, Состояние очень хорошее, без ДТП. Кузов в родной краске, стекла в...",Алматы
110,Mazda 6,4 950 000 ₸,"На заказСрочно, торг
2013 г., седан, 2.5 л, бензин, КПП автомат, 96 560 км, белый, металлик, тонировка, литые диски, багажник, хрустальная...",Алматы
111,Mazda 6,10 300 000 ₸,"2019 г., седан, 2 л, бензин, КПП вариатор, 14 000 км, белый, металлик, литые диски, тонировка, омыватель фар, корректо...",Алматы
112,Mazda 6,10 820 000 ₸,"новая
2019 г., седан, 2 л, бензин, КПП автомат, белый, металлик, литые диски, тонировка, ксенон, хрустальная оптика, линзова...",Алматы
113,Mazda 6,6 000 000 ₸,"2013 г., седан, 2 л, бензин, КПП автомат, 90 000 км, белый, металлик, литые диски, тонировка, обогрев зеркал, хрусталь...",Нур-Султан (Астана)
114,Mazda 6,7 900 000 ₸,"2015 г., седан, 2 л, бензин, КПП автомат, 59 000 км, серебристый, литые диски, линзованная оптика, корректор фар, прот...",Уральск
115,Mazda 6,8 700 000 ₸,"2018 г., седан, 2 л, бензин, КПП автомат, 25 000 км, белый, металлик, Акпп 2-зонный климат-контроль Пушстарт Камера за...",Караганда
116,Mazda 6,7 000 000 ₸,"2015 г., седан, 2.5 л, бензин, КПП типтроник, 80 000 км, литые диски, тонировка, противотуманки, омыватель фар, коррек...",Усть-Каменогорск
117,Mazda 6,13 880 000 ₸,"новая
2019 г., седан, 2.5 л, бензин, КПП автомат, красный, металлик, литые диски, тонировка, линзованная оптика, дневные ход...",Атырау
118,Mazda 6,4 300 000 ₸,"2012 г., седан, 1.8 л, бензин, КПП механика, 142 000 км, серый, литые диски, багажник, противотуманки, ксенон, линзова...",Макинск
